match_id,num,eu_cp_id,eu_cp_name,home_win_odd0,draw_odd0,away_win_odd0,home_win_p0,draw_p0,away_win_p0,return_rate0,home_win_odd1,draw_odd1,away_win_odd1,home_win_p1,draw_p1,away_win_p1,return_rate1,kelly_home,kelly_draw,kelly_away,datestr,eu_cp_name_ex,flag1,flag2
2894738,577,148510048,gioco digitale,1.58,4,5.75,59.89,23.66,16.46,94.62,1.55,4.2,5.75,61.03,22.52,16.45,94.59,0.98,0.93,0.85,"2025,12-1,23,19,41,00",gioco digit*(意大利),0,0
2894738,87,148482547,GoldBet,1.5,4,6.25,61.92,23.22,14.86,92.88,1.52,4.25,6.25,62.47,22.34,15.19,94.95,0.96,0.94,0.92,"2025,12-1,23,18,57,00",Gold*(马耳它),0,0
2894738,1398,148372106,Goldenbet,1.54,3.8,4.79,57.91,23.47,18.62,89.18,1.52,4.26,6,62.11,22.16,15.73,94.4,0.96,0.94,0.88,"2025,12-1,23,18,58,00",Goldenbe*,0,0
2894738,1419,148698726,Goldzino,1.57,3.95,5.6,59.6,23.69,16.71,93.57,1.5,4.5,7,64.62,21.54,13.85,96.92,0.95,1.00,1.03,"2025,12-1,23,19,47,00",Goldzin*,0,0
2894738,717,148482548,Hrvatska Lutrija,1.5,4,5.5,60.69,22.76,16.55,91.03,1.5,4.7,8,66.37,21.18,12.44,99.56,0.95,1.04,1.18,"2025,12-1,23,17,02,00",Hrvatska Lutr*(克罗地亚),0,0
2894738,657,148718482,iddaa,1.47,3.77,5.25,59.88,23.35,16.77,88.03,1.35,4.09,6.65,65.23,21.53,13.24,88.06,0.85,0.91,0.98,"2025,12-1,23,14,24,00",idda*(土耳其),0,0
2894738,146,148614013,Intertops,1.53,4,6,61.07,23.36,15.57,93.44,1.53,4.1,6.5,62.17,23.2,14.63,95.12,0.97,0.91,0.96,"2025,12-1,23,19,19,00",Intert*(安提瓜和巴布达),0,0
2894738,1371,148372108,Ivibet,1.59,4.1,5.2,59.05,22.9,18.05,93.88,1.52,4.5,6.4,63.48,21.44,15.08,96.49,0.96,1.00,0.94,"2025,12-1,23,18,58,00",Ivibe*,0,0
2894738,1397,148372107,Jackbit,1.54,3.8,4.79,57.91,23.47,18.62,89.18,1.46,4.42,6.73,64.63,21.35,14.02,94.36,0.92,0.98,0.99,"2025,12-1,23,17,10,00",Jackbi*,0,0
2894738,1135,148526336,Ladbrokes.au,1.57,4,5.6,59.78,23.46,16.76,93.85,1.53,4.2,5.75,61.34,22.34,16.32,93.84,0.97,0.93,0.85,"2025,12-1,23,19,41,00",Ladbro*.au,0,0
2894738,1350,148638226,Ladbrokes.be,1.53,4,6,61.07,23.36,15.57,93.44,1.52,4.2,6,61.91,22.41,15.68,94.1,0.96,0.93,0.88,"2025,12-1,23,18,57,00",Ladbro*.be(比利时),0,0
2894738,1103,148471758,Leovegas,1.53,4.35,6.5,63.01,22.16,14.83,96.4,1.55,4.2,6.75,62.55,23.08,14.36,96.96,0.98,0.93,0.99,"2025,12-1,23,19,35,00",Leove*,0,0
2894738,1284,148482549,LeoVegas.it,1.48,4.2,6.25,62.93,22.17,14.9,93.13,1.48,4,6.4,62.45,23.11,14.44,92.43,0.93,0.89,0.94,"2025,12-1,23,19,19,00",LeoVe*.it,0,0
2894738,1104,148367632,Liga Stavok,1.55,4.1,5.2,59.66,22.55,17.78,92.48,1.55,4.4,6.2,62.41,21.99,15.6,96.74,0.98,0.97,0.91,"2025,12-1,23,18,50,00",Liga Sta*,0,0
2894738,1277,148482550,LoterieRomande,1.55,4.05,5.6,60.26,23.06,16.68,93.4,1.45,4.35,6.15,63.73,21.24,15.03,92.41,0.92,0.96,0.90,"2025,12-1,23,18,57,00",LoterieRoma*,0,0
2894738,1303,148372109,LSbet,1.62,4,5.5,58.84,23.83,17.33,95.32,1.52,4.2,6.5,62.67,22.68,14.65,95.25,0.96,0.93,0.96,"2025,12-1,23,19,14,00",LSbe*,0,0
2894738,992,148729580,Luckia.es,1.56,3.85,5.3,58.84,23.84,17.32,91.79,1.46,4.2,6.8,64.01,22.25,13.74,93.45,0.92,0.93,1.00,"2025,12-1,23,19,04,00",Luc*.es,0,0
